E,flux
18.126000,36.342408
18.145000,35.111484
18.164000,33.896640
18.183000,32.696268
18.201000,31.511172
18.220000,30.342156
18.239000,29.188416
18.258000,28.050756
18.277000,26.928372
18.295000,25.822068
18.314000,24.731040
18.333000,23.656092
18.352000,22.597224
18.370000,21.553632
18.389000,20.526120
18.408000,19.513884
18.427000,18.517728
18.446000,17.536848
18.464000,16.570440
18.483000,15.620112
18.502000,14.684256
18.521000,13.763676
18.540000,12.855960
18.558000,11.961912
18.577000,11.079924
18.596000,10.209996
18.615000,9.349716
18.633000,8.496672
18.652000,7.648854
18.671000,6.801760
18.690000,5.949198
18.709000,5.080958
18.727000,4.179433
18.746000,3.208040
18.765000,2.069416
18.784000,0.000000
